state_id,state,year,union_density,num_strikes,left_wing,state_pop,manufact,real_median_in,num_firms,manufact_per,rtw,rtw_year,ln_state_pop,ln_manufact,ln_num_firms,ln_real_median_in,num_esops_form_5500
26,MT,2009,14.4,0,1,974989,17400,56920,31670,1.78463551896483,0,0,13.7901814678651,9.76422548520262,10.3631251395327,10.9494020522038,35
26,MT,2010,13.1,0,1,989415,16500,57320,31358,1.66765209745152,0,0,13.8048691383643,9.71111565988867,10.3532246969204,10.9564048819421,36
26,MT,2011,13.2,0,1,998199,16800,54240,31033,1.68303113908149,0,0,13.8137079342139,9.72913416539135,10.3428064334008,10.9011739226143,34
26,MT,2012,14.3,0,1,1005163,17600,59570,31370,1.75095979458058,0,0,13.8206602753788,9.77565418102624,10.3536073011847,10.9949073706227,35
26,MT,2013,13.3,0,1,1015165,18400,56390,31636,1.81251323676447,0,0,13.8305617188227,9.82010594359708,10.3620509916393,10.9400471168012,35
26,MT,2014,12.8,0,1,1010165,18900,65770,31810,1.87098147332366,0,0,13.8256242418112,9.84691720104773,10.3675359847432,11.0939190862954,33
26,MT,2015,12.4,0,1,1005275,19100,66200,32222,1.89997761806471,0,0,13.8207716938857,9.85744361403472,10.3804047280509,11.1004357419251,35
26,MT,2016,12,0,1,1042520,19500,72870,32450,1.87046771284963,0,0,13.8571514171233,9.87816974455184,10.3874557221322,11.1964323106643,34
26,MT,2017,12.1,0,1,1050493,19900,72030,32812,1.89434865344176,0,0,13.8647701357514,9.89847501071258,10.3985495811226,11.1848379778834,34
26,MT,2018,12,0,1,1060665,20600,70940,33386,1.94217778469168,0,0,13.8744066278717,9.93304635477767,10.4158919294153,11.1695897283276,31
26,MT,2019,10.7,0,1,1068778,21000,72950,33556,1.96486080364678,0,0,13.8820264977203,9.95227771670556,10.4209709639662,11.1975295539509,30
26,MT,2020,12.2,0,1,1084225,20500,68060,33993,1.890751458415,0,0,13.8963760040188,9.9281801651265,10.4339099000487,11.1281449480549,28
26,MT,2021,11.5,0,0,1104271,21300,74630,35203,1.92887434334507,0,0,13.9146959467106,9.96646235169752,10.4688865852273,11.2202978501254,31
27,NC,1999,3.3,0,1,7650789,777000,65890,162311,10.1558153021865,1,0,15.8503193377393,13.5631956293498,11.99726952693,11.0957419639079,NA
27,NC,2000,3.7,1,1,8049313,758400,65510,163643,9.42192209446943,1,0,15.901097304138,13.5389662299229,12.0054425048012,11.0899580817259,161
27,NC,2001,3.7,0,1,8206105,704400,63810,163553,8.58385311911071,1,0,15.9203889474179,13.4651016556042,12.0048923758127,11.0636651968624,166
27,NC,2002,3.5,1,1,8320146,643900,60310,165020,7.73904688691761,1,0,15.9341903607203,13.3752987135263,12.0138219576583,11.007253206445,174
27,NC,2003,3.1,0,1,8407248,599600,60310,166070,7.13194139152312,1,0,15.9446047489092,13.3040180452106,12.0201646652008,11.007253206445,150
27,NC,2004,2.8,0,1,8541221,577400,63510,170016,6.76015759339326,1,0,15.9604145297838,13.266290546211,12.0436478292507,11.058952652797,144
27,NC,2005,3,0,1,8683242,564500,64510,173854,6.50102807223385,1,0,15.9769055192061,13.2436956625719,12.0659711455118,11.0745755295263,142
27,NC,2006,3.3,1,1,8669452,553200,59320,176815,6.38102615943891,1,0,15.9753161403001,13.2234748787727,12.0828592672158,10.9907017962519,137
27,NC,2007,3,0,1,8866977,538600,63240,179773,6.07422349240333,1,0,15.9978444844713,13.1967284593596,12.0994502228914,11.0546922913234,135
27,NC,2008,3.5,0,1,9064074,516200,60180,176196,5.69501087480089,1,0,16.0198292458226,13.1542495662667,12.0793522907509,11.005095350184,115
